LME_EcoOcean,Fleet Number,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,11,0.686901561,0.654041738,0.649608745,0.613898511,0.567700267,0.614719416,0.610384388,0.636404866,0.902471964,1.083879945,0.927860493,0.655936099,0.746619586,0.7897425,0.807814994,2.199031146,2.092875824,1.874206357,1.896130077,1.567828801,2.005564824,2.005827851,1.079918842,0.997400279,0.860719176,1.859478348,2.058783803,1.978247128,1.985136873,0.580067224,0.572987759,0.55392188,0.579412745,0.481796003,0.468411027,1.015176335,0.773465069,0.991661926,0.668323968,0.037950578,0.021398186,0.022548562,0.035221748,0.034607063,0.061492298,0.021926451,0.052337866,0.02144692,0.040961271,0.048660524,0.034221099,0.017253721,0.043400001,0.034205346,0.027968681,0.051383417,0.050158049,0.029466098,0.063496146,0.11510627,0.062674411
1,12,0.599514262,0.329290404,0.523430717,0.397956539,0.763114884,0.272450788,0.449440309,0.352336274,0.783128784,0.961579847,1.244769034,1.419954362,1.505974196,1.232756127,1.502783813,2.058293604,2.331746614,1.899416797,1.860063797,1.433854507,1.606416269,1.997484436,1.497836546,1.528074817,1.570440949,1.692456712,2.260744376,2.348363911,1.986988044,2.047307655,2.310613855,2.155661944,2.131028272,2.743472846,2.93796845,3.762471858,4.590129265,4.246818467,4.626369131,4.509613057,4.716287111,4.244556705,4.68002821,4.753329756,3.994240995,4.115076131,3.961273304,3.501412477,3.544606881,3.207812211,3.17248925,3.077959139,2.839981351,2.908472845,2.777306795,3.285740793,2.604636152,2.497362396,2.370108974,2.262366803,2.396889506
1,13,1.349107682,1.38668314,1.143283642,1.489394443,2.318693769,1.683108125,1.354187463,1.419546173,1.75692617,1.539821038,1.413749555,1.472880417,1.155338448,1.208676737,1.263436892,2.072008718,1.815508963,1.4114795,1.820114535,1.549909428,1.616993929,1.584608463,0.643850323,0.587596442,0.696600944,0.840466219,1.126545423,1.153232258,0.966683816,0.964107701,1.037191103,0.982655983,0.931263055,1.082926161,1.242151318,1.263963066,1.563299991,1.366191768,1.406568555,1.12201021,1.1356593,0.886069533,1.21631442,1.379390032,1.152079784,1.305299991,1.20838665,0.914308507,0.919463266,0.970253721,0.602936538,0.715714148,0.800799206,0.832328377,0.612987963,0.995372604,0.755076957,0.743120819,0.896484322,0.863387378,0.676130716
1,14,1.695223871,1.808158972,1.74313755,1.800084316,1.801487194,1.618251072,1.570607097,1.481537791,1.857524727,1.910194497,1.525588406,1.32500829,1.443781786,1.600441777,1.621399119,1.69918429,2.102327793,2.375792747,2.854568072,2.998291764,3.42864715,3.772411287,3.693023756,3.502061631,3.218169091,3.12018441,3.060889767,2.628332016,2.330643571,2.45272772,2.411512133,2.357178743,2.546086295,2.201499174,2.227468424,2.428791584,2.454562227,2.161866705,1.160008495,1.11751416,1.152794284,0.985123406,1.136280918,1.276369203,1.139759733,1.130358508,1.245422544,1.01220606,0.988577469,0.84056515,0.879709956,0.851668703,0.751332281,0.740089146,0.660539122,0.698629517,0.68014596,0.66957354,0.697870407,0.639738915,0.623225584
1,15,0.310702262,0.271679213,0.2693455,0.269317809,0.265130675,0.225044377,0.330958482,0.360941849,0.358146279,0.325467835,0.784535246,0.896904798,0.845044171,0.790221487,0.846959368,1.043774181,0.822586733,0.723811416,0.696646625,0.584510329,0.627386022,0.62804678,0.632059312,0.587674281,0.664271639,0.640265835,0.756220243,0.787279968,0.75489461,0.696991872,0.717030505,0.594615405,0.705220355,0.974456562,0.857179894,1.091470545,1.493386405,1.381424758,1.320632215,1.066625009,1.129831514,1.087807228,1.139900742,1.37367671,1.198746312,1.201222537,1.062840872,1.104596197,1.019379938,0.969383693,0.845264197,0.74112587,0.803156654,0.68825053,0.514942217,0.560818631,0.455959716,0.469231603,0.474050876,0.476575075,0.530106171
1,16,0.183932659,0.164195102,0.163890079,0.166356541,0.172021611,0.154333736,0.184215415,0.199639428,0.207544525,0.122911118,0.311537124,0.490413129,0.42582975,0.369449492,0.420155187,0.45853732,0.415519099,0.296568015,0.275700382,0.258683735,0.304074242,0.371379987,0.416945883,0.476989329,0.471611862,0.420475259,0.49026847,0.486531124,0.436516094,0.441499609,0.650767403,0.410110414,0.516858368,0.57167276,0.65926965,0.671294239,0.777554367,0.669082072,0.765133257,0.575902228,0.472408834,0.456987326,0.504077216,0.655664729,0.535681827,0.504872502,0.479740117,0.386305012,0.392004016,0.463010072,0.427550901,0.46034988,0.559381098,0.483253118,0.456100819,0.972388852,0.716878817,0.583941884,0.639146448,0.596274473,0.490609392
2,1,1.717391308,1.766347016,1.749340834,1.666292163,1.446099214,2.662525143,2.98734563,2.917862275,1.55279679,2.861055591,4.26533493,4.943448955,4.768406724,3.056415812,3.598332324,2.885039135,2.826985603,2.339507208,2.704657859,1.877995175,2.65091457,2.635026333,3.376842691,3.273899058,3.376858572,3.410626025,4.494634645,4.520018521,4.251418564,3.362589771,4.131457682,5.176099535,5.320521237,5.721483076,6.714389992,7.501717505,8.469777821,7.908148996,9.060946021,10.24630909,9.895512796,9.826773133,10.59009639,10.70437953,10.61261794,10.05528406,11.60815514,9.567992852,8.837630542,8.309574717,6.206598932,7.418604566,6.522920286,7.204818073,7.581274087,6.410984363,6.263983668,5.601573122,5.823683415,4.607893425,4.933815641
2,2,,,,,,,,,,,,,,,,,,,,,,,,,0.000638871,,,1.00E-05,4.64E-08,4.30E-07,,3.49E-05,7.11E-06,1.45E-05,1.36E-08,1.25E-05,1.94E-08,6.03E-06,2.57E-05,,,1.09E-05,,,5.88E-05,4.81E-07,7.41E-06,1.63E-06,9.13E-06,,4.52E-06,,,,,0.000830801,0.000183611,0.000528948,1.65E-05,8.46E-05,
2,3,1.206929759,1.458924763,1.113257497,1.336270492,1.176844286,1.556708731,1.232557484,1.19057059,1.353459363,1.27369731,1.572241476,1.772073824,1.55719805,1.512229309,1.697195046,1.67250268,1.930503006,1.348184268,2.048242696,1.690759179,2.135058238,2.004279211,0.860901904,0.886165937,0.964657207,0.710927214,0.904275092,0.92538597,0.859272201,1.01682582,1.11452148,1.143317562,1.329614627,1.591494501,1.907387558,2.947644379,3.473114427,2.523841558,2.558207603,3.619096555,3.675027232,3.461172795,3.650890227,3.902401319,3.23838346,3.239439886,3.349908205,3.045576221,2.845012767,2.351473902,2.448739278,2.44695938,2.421492007,2.29432595,1.490954136,1.640855883,1.592359079,1.494615513,1.864025868,1.415689532,1.39283903
2,4,,3.15E-06,,,2.25E-07,6.84E-05,8.30E-05,0.000252911,0.00015437,0.000134964,3.99E-06,,2.26E-06,2.42E-05,1.53E-05,9.57E-05,9.55E-05,0.000170611,0.000689696,3.74E-05,1.46E-05,1.16E-08,4.33E-05,2.82E-09,1.12E-08,0.000553252,0.000144771,1.45E-05,9.46E-05,1.82E-05,0.002155195,0.002275944,2.60E-07,0.000124889,0.001091944,0.000771293,7.43E-05,0.000674909,0.001149455,0.000817248,8.49E-06,0.000553934,3.44E-05,6.57E-05,0.00040444,4.47E-05,0.00070419,0.000523051,0.000226512,0.000355649,0.000960731,0.001180577,0.016299091,4.23E-05,0.002809982,0.000321704,0.000101122,2.44E-06,6.44E-05,4.15E-05,0.001594019
2,5,2.175127434,1.075801804,1.002783011,0.711374835,0.720255803,1.308499031,1.267882476,1.202369671,1.857681872,2.583166607,1.311853225,1.281046117,1.279979139,1.132686479,1.145904537,1.674612866,2.022498109,0.71427717,0.639969522,0.548451673,2.537334905,2.893324399,1.398112612,1.345979509,1.312479099,1.17888398,1.545234789,1.587347842,1.383738205,1.251853488,1.336565937,3.478304907,3.118574019,3.349340326,2.888667908,7.125347673,7.240900324,3.373084803,3.62352294,6.292823537,5.904306255,5.65694272,5.545744913,5.8611821,5.042859089,4.743560976,3.597329212,2.99447128,3.551905934,3.219861678,2.672492552,2.501763522,2.293844437,2.192927077,1.510715259,1.836342426,1.725758028,1.559048285,2.190112098,2.074375855,1.403863937
2,6,2.474730401,2.254330257,1.979064202,1.542504919,1.736966429,1.966575902,1.794868268,1.73715854,1.999749471,2.920128528,2.513417446,2.166608918,2.198665441,1.875991027,1.953832282,2.159461603,2.274404016,1.733836925,1.478523832,1.367472102,3.735378403,3.554909531,2.116417741,1.888015705,1.839653606,1.667101608,2.184517706,2.188965347,1.818031562,1.865563097,2.199817311,3.071800492,3.110826049,3.37992211,3.645614838,6.638073752,7.415010398,4.664271952,4.834852014,7.126705367,6.761294076,6.50947292,6.39255553,6.718548283,5.450779001,5.408552233,4.424307777,3.738803478,4.446665782,4.231413826,3.720598199,3.829296973,3.459743609,3.415158345,2.330083465,2.453064794,2.49492474,2.236477508,3.36530335,3.382083536,2.159700086
2,7,0.011344828,4.04E-05,2.61E-05,4.21E-05,0.000164735,0.003607971,0.000524016,0.001113763,0.000826979,0.000634218,0.000883185,0.000975736,0.001610352,1.71E-05,0.000163672,0.001145047,3.99E-05,7.97E-05,2.32E-06,5.82E-05,9.78E-05,6.19E-05,9.91E-05,4.73E-06,0.000398562,0.026307556,0.633774356,0.593998107,0.019848342,0.027761431,0.101748702,0.179785248,0.557611798,0.674364992,0.777922979,0.740825613,0.795503638,0.668075769,0.491560811,0.00579487,0.011487905,0.007974666,0.005827525,0.013700097,0.00360468,0.002350013,0.0069525,0.005201759,0.002181856,0.004027863,0.000112415,8.79E-05,0.005280589,0.000145779,0.003176576,0.016502053,0.000374073,1.39E-05,0.000186978,3.59E-05,0.00024882
2,8,,0.000112586,,,,0.005856231,1.28E-06,1.81E-06,5.06E-07,0.000863941,4.07E-06,5.00E-07,5.31E-08,1.43E-07,8.24E-08,0.003177781,8.40E-07,2.03E-06,,,3.18E-05,4.03E-07,2.23E-06,0.000117945,0.000248572,0.000144525,5.35E-07,,0.000181317,1.39E-06,9.73E-08,1.45E-07,4.27E-06,0.008535775,9.99E-06,0.000495308,0.000342136,0.000296257,0.001042985,0.001744394,0.008360932,0.008828567,0.002061766,0.017821317,3.66E-06,0.001551725,0.000588938,0.007624553,4.93E-05,0.000938171,7.95E-05,0.001628837,0.000303384,0.000278416,0.001157289,0.009929777,0.000420403,8.41E-05,0.001747301,0.000563344,0.000111807
2,9,0.73820842,0.743573055,0.643846489,0.506997239,0.474626953,0.416893757,0.372238932,0.361179264,0.502581265,0.512362435,0.829539528,0.622775926,0.587415264,0.579713067,1.281422032,0.666554221,1.888027591,1.575856655,0.590967843,0.496965974,0.212694276,0.402891384,1.113323497,1.160602949,1.196325777,0.983125197,1.293770824,1.380726683,1.213710683,1.295041801,1.414168086,1.467522024,1.547679499,1.818147088,2.272424559,2.6035548,3.435025425,3.181468228,3.34078935,3.824567925,3.925765943,3.65606481,4.040117257,4.108393317,3.008897654,3.20057283,3.027710253,2.724397492,2.568357826,2.255704157,2.060015003,1.935543518,1.858436408,1.84408275,1.794197579,1.782881107,1.716522864,1.444701939,1.378438155,1.268100279,1.424711463
